fuel,avg_corr,avg_plus10pct_effect
Gas,-0.11811939073176964,-0.002799753707893426
Diesel,-0.15168719326443106,-0.0027484966318344017
CrudeOil,-0.12645994594406018,-0.0018992091177066261
Electricity,-0.0029873163922459383,-0.0018550407469964192
NaturalGas,-0.14111905888172072,-0.001710664381800417
Gasoline,-0.10863802286002794,-0.001687060548069204
HeatingOil,-0.15384869255173023,-0.0016590932248845252
Coal,-0.14372844999851211,-0.0010076010624597168
