sector,fuel,n_years,corr_margin_change_vs_price_change,estimated_margin_change_for_plus10pct_price
Communication Services,Coal,16,-0.07338859388548051,-0.0005833540738419238
Communication Services,CrudeOil,16,-0.3927349116392523,-0.0055810293193007295
Communication Services,Diesel,16,-0.31710657988763513,-0.007514996481662427
Communication Services,Electricity,16,-0.105660179278365,-0.01683037053471762
Communication Services,Gas,16,-0.31151016306153,-0.00839999020316837
Communication Services,Gasoline,16,-0.30695159072033923,-0.004736645306708892
Communication Services,HeatingOil,16,-0.2921217664781409,-0.0038916979424723215
Communication Services,NaturalGas,16,-0.29532834830131777,-0.003928790379233117
Consumer Discretionary,Coal,16,0.08964429944138827,0.0010955246116651745
Consumer Discretionary,CrudeOil,16,0.5147397325082889,0.0050799435932735205
Consumer Discretionary,Diesel,16,0.2696023398854441,0.0038225298775302705
Consumer Discretionary,Electricity,16,0.057687103399037994,0.003350530418693945
Consumer Discretionary,Gas,16,0.3629561004169443,0.005864187824628168
Consumer Discretionary,Gasoline,16,0.4145918659395632,0.004535998336321537
Consumer Discretionary,HeatingOil,16,0.3231622289377006,0.002794431559574699
Consumer Discretionary,NaturalGas,16,0.3615820526759295,0.0028136907241529366
Consumer Staples,Coal,16,-0.43927699480462046,-0.0015705822197889475
Consumer Staples,CrudeOil,16,-0.15633355632484303,-0.0011955627328811092
Consumer Staples,Diesel,16,-0.2944402211676446,-0.002891816869693791
Consumer Staples,Electricity,16,-0.04644233640391339,-0.0012446129643590368
Consumer Staples,Gas,16,-0.24241060405067505,-0.002900421944446554
Consumer Staples,Gasoline,16,-0.2166910672060762,-0.001798031452843444
Consumer Staples,HeatingOil,16,-0.31867680185636676,-0.0020042201334683637
Consumer Staples,NaturalGas,16,-0.48853327590234563,-0.0028414094163974387
Energy,Coal,16,-0.6277338978322676,-0.008514163053489315
Energy,CrudeOil,16,-0.6934790692936643,-0.017850706180419926
Energy,Diesel,16,-0.6630858577010724,-0.021952362948647094
Energy,Electricity,16,-0.22327671856252218,-0.03573934624283755
Energy,Gas,16,-0.6796409936725692,-0.027043725302464905
Energy,Gasoline,16,-0.6952791848805243,-0.018909987341264548
Energy,HeatingOil,16,-0.684005760202579,-0.014256963983527922
Energy,NaturalGas,16,-0.8460671740052528,-0.01632076253773487
Financials,Coal,16,-0.14637487260966695,5.060013014173654e-05
Financials,CrudeOil,16,-0.12943797911899568,-3.762520734205503e-05
Financials,Diesel,16,-0.0698286552802902,-0.0016122847992338326
Financials,Electricity,16,0.16530730476949768,0.014229178869016465
Financials,Gas,16,-0.08692336405635308,-0.0012324092192030948
Financials,Gasoline,16,-0.06767419752635559,0.0007643463162303653
Financials,HeatingOil,16,-0.06634838063541203,0.0001187509012551855
Financials,NaturalGas,16,0.0286323459132128,0.004415961784242631
Health Care,Coal,16,0.3122523168381871,0.0010073364318351939
Health Care,CrudeOil,16,0.5001908830929783,0.002796995614328523
Health Care,Diesel,16,0.34899773827555663,0.0023663056703009354
Health Care,Electricity,16,-0.12965492097158532,-0.0025403578711089606
Health Care,Gas,16,0.5067798644768777,0.0041276347691246145
Health Care,Gasoline,16,0.5249049284550104,0.003046140681811298
Health Care,HeatingOil,16,0.37424323711978724,0.001630942038677347
Health Care,NaturalGas,16,0.37228911747909926,0.0014841996988012652
Industrials,Coal,16,-0.4707978175634866,-0.0008154558810064026
Industrials,CrudeOil,16,-0.17965035548838376,-0.0007267015711944438
Industrials,Diesel,16,-0.2784343031882588,-0.001814490285063636
Industrials,Electricity,16,0.4120268023925039,0.0140551687871456
Industrials,Gas,16,-0.19922850066684245,-0.0013935695172007283
Industrials,Gasoline,16,-0.18772037221283916,-0.0007138870743146038
Industrials,HeatingOil,16,-0.30766167362447927,-0.0010781237456933756
Industrials,NaturalGas,16,-0.3217875648682631,-0.0007187948189317489
Information Technology,Coal,16,0.1728673937548732,0.00035207401363616687
Information Technology,CrudeOil,16,-0.2612146522901128,-0.0007230966325996725
Information Technology,Diesel,16,-0.16615795471730904,-0.001326321268856504
Information Technology,Electricity,16,-0.029541720071048175,-0.0020813094577003402
Information Technology,Gas,16,-0.2501865305832101,-0.002078653648151776
Information Technology,Gasoline,16,-0.2498320514305213,-0.0009653281318821607
Information Technology,HeatingOil,16,-0.17460978982368314,-0.0005372230832402174
Information Technology,NaturalGas,16,0.01072841148642718,0.00013397967943562874
Materials,Coal,16,-0.164596206856055,-0.0002939735812142814
Materials,CrudeOil,16,-0.39374430051029524,-0.0008768497288396805
Materials,Diesel,16,-0.3927059581452709,-0.0023934638815208235
Materials,Electricity,16,-0.08905983946529711,-0.002638757967552431
Materials,Gas,16,-0.3273940046671905,-0.0018100209422390113
